ServicesCentreID,Title,Address1,Address2,City,ProvinceID,PostalCode,Lat,Lon,StoreFront,EnglishService,FrenchService,Phone,Fax,Email,Website,OpeningHours,CatchmentAreaID,ServicesCentreContractorID,LegacyURL
3,Port Hardy,129-8950 Granville Street,,Port Hardy,2,V0N 2P0,50.720686,-127.496874,1,1,0,250-949-5736,250-949-5797,phinfo@niefs.net,http://www.niefs.net/,"8:30am-4:30pm Monday to Friday, ﻿﻿Excluding Statutory Holidays",63,1,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
4,Powell River,103-4511 Marine Avenue,,Powell River,2,V8A 2K5,49.837969,-124.527884,1,1,0,604-485-7958,604-485-7997,yourteam@careerlinkbc.com,http://www.careerlinkbc.com/,"8:30 am to 4:30 pm, Monday to Friday, Excluding Statutory Holidays",65,2,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
5,Campbell River,870C 13th Avenue,,Campbell River,2,V9W 4H2,50.028062,-125.253603,1,1,0,250-286-3441,250-286-3447,info@neifs.net,http://www.niefs.net/,"8:30 am to 4:30 pm, Monday to Friday, Excluding Statutory Holidays",11,1,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
6,Nanaimo,255-2000 Island Highway,,Nanaimo,2,V9S 5W3,49.192909,-123.973267,1,1,1,250-729-5627,250-756-8899,nanaimo@gthiringsolutions.ca,http://www.gthiringsolutions.ca/,"8:30 am to 5:00 pm, Monday to Wednesday 8:30 am to 3:00 pm, Thursday 8:30 am to 4:30 pm, Friday Excluding Statutory Holidays",50,6,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
8,Nanaimo,101-155 Skinner Street,,Nanaimo,2,V9R 5E8,49.192917,-123.973295,2,1,0,250-714-0085,250-714-0093,info@slbconsulting.com,http://www.set-nanaimo.com/,"8:30 am to 5:00 pm, Monday to Wednesday 8:30 am to 3:00 pm, Thursday 8:30 am to 4:30 pm, Friday Excluding Statutory Holidays",50,7,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
9,Duncan,301-80 Station Street,,Duncan,2,V9L 1M4,48.77746,-123.708179,1,1,0,250-758-9880,250-746-8986,info@gvsjobs.com,http://www.gvsjobs.com/,"8:30 am to 4:30 pm, Monday to Friday, Excluding Statutory Holidays",23,8,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
10,Duncan,11-740 1st Avenue,,Ladysmith,2,V9B 1X1,48.780896,-123.710239,2,1,0,250-924-2884,250-746-8986,info@gvsjobs.com,http://www.gvsjobs.com/,"8:30 am to 4:30 pm, Monday to Friday, Excluding Statutory Holidays",24,8,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
11,Victoria,201-1483 Douglas Street,,Victoria,2,V8W 3K4,48.427691,-123.364255,1,1,1,250-250-2501,250-250-2501,victoria@gthiringsolutions.ca,http://www.gthiringsolutions.ca/,"8:30 am to 4:30 pm, Monday to Friday, Excluding Statutory Holidays",100,6,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
12,Victoria,102-415 Gorge Road E,,Victoria,2,V8T 2W1,48.427725,-123.364257,2,1,1,150-250-2502,250-250-2503,victoria@gthiringsolutions.ca,http://www.gthiringsolutions.ca/,"8:30 am to 5:00 pm, Monday to Wednesday 8:30 am to 3:00 pm, Thursday 8:30 am to 4:30 pm, Friday Excluding Statutory Holidays",100,6,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
13,Vancouver South,5750 Oak Street,,Vancouver,2,V6M 2v9,49.233811,-123.127856,1,1,1,604-604-6041,604-604-6042,erc@ywcavan.org,http://www.ywcajobseeker.org/,"8:30 am to 4:30 pm, Monday to Friday, Excluding Statutory Holidays",96,13,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
14,Vancouver Midtown,110 East 3rd Avenue,,Vancouver,2,V5T 1C8,49.233819,-123.12786,1,1,1,604-604-6043,604-604-6044,info@vancouvermidtownesc.ca,http://www.pcrs.ca/,"Mon-Fri 8am-6pm
Sat-Sun 11am-3pm",94,14,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
15,Vancouver Westside,300/301 2150 West Broadway,,Vancouver,2,V6K 4L9,49.263128,-123.111033,1,1,1,604-604-6045,604-604-6046,TBD,http://www.ywcajobseeker.org/,"8:30 am to 4:30 pm, Monday to Friday, Excluding Statutory Holidays",97,13,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
16,Ucluelet,Unit 10 - 1636 Peninsula Road,,Ucluelet,2,V0R 3A0,48.942826,-125.549161,2,1,0,250-726-4243,250-726-2975,wcinfo@avemployment.ca,http://www.avemployment.ca/,"9:00 am to 12 & 1:00 pm to 4:00 pm
Wednesday & Friday (closed from 12-1)",90,4,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
17,Courtenay,555 4th Street,,Courtenay,2,V9N 1H3,49.690285,-125.003641,1,1,0,250-334-3119,250-338-7594,contact@ceas.ca,http://www.ceas.ca/,"8:30 am to 4:30 pm, Monday through Friday",18,3,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
18,Port Alberni,4805-B Mar Street,,Port Alberni,2,V9Y 8J5,49.232171,-124.805417,1,1,0,250- 724-4560,250 724-4565,info@avemployment.ca,http://www.avemployment.ca/,"8:30 am to 4:30 pm, Monday to Friday, Excluding Statutory Holidays",61,4,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
19,Tofino,381 Main Street,,Tofino,2,V0R 2Z0,49.153183,-125.906817,3,1,0,250-725-8805,250-725-2845,wcinfo@avemployment.ca,http://www.avemployment.ca/,"9:00 am to 12 & 1:00 pm to 4:00 pmMonday, Tuesday & Thursday (closed from 12-1)",88,4,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
20,Parksville,110 - 198 East Island Highway,,Parksville,2,V9P 2H3,49.320016,-124.30872,1,1,0,250-248-3205,250-248-4154,info@careercentre.org,http://www.careercentre.org/,"8:30 am to 4:30 pm, Monday to FridayClosed on Statutory Holidays",58,5,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
21,Langford,2234 Sooke Road,,Victoria,2,V9B 1X1,48.434731,-123.491953,1,1,0,250-478-9525,250-478-8664,mailbox@worklink.bc.ca,http://www.worklink.bc.ca/,"9:00-4:30 Monday through Friday, Excluding Statutory Holidays",41,9,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
22,Sooke,6625-D Sooke Road,,Sooke,2,V9Z 0A2,48.378545,-123.719243,2,1,0,250-642-3685,250-642-3601,mailbox@worklink.bc.ca,http://www.worklink.bc.ca/,"9:00-12:00 & 1:00-3:30, Tuesday, Wednesday, Thursday",79,9,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
23,Saanich,201-3962 Borden Street,,Victoria,2,V8P 3H8,48.470227,-123.361131,1,1,0,250-479-9675,250-479-9678,Saanich@gthiringsolutions.ca,http://www.gthiringsolutions.ca/,"8:30 am to 5:00 pm, Monday to Wednesday 8:30 am to 3:00 pm, Thursday 8:30 am to 4:30 pm, Friday Excluding Statutory Holidays",73,6,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
24,Sidney,9860 Third Street,,Sidney,2,V8L 4R2,48.650574,-123.397979,1,1,0,250-656-0134,250-655-5081,workbcinfo@beaconcs.ca,http://www.beaconcs.ca/,"8:30 am to 5:00 pm, Monday to Friday, Excluding Statutory Holidays",77,10,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
25,Salt Spring Island,268 Fulford-Ganges Road,,Salt Spring Island,2,V8K 2K6,48.847462,-123.499826,2,1,0,250-931-7687,250-931-7685,workbcinfo@beaconcs.ca,http://www.beaconcs.ca/,"11:00 am to 3:00 pm Monday to Thursday, Closed for lunch from 12:00 - 1:00",75,10,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
26,Delta,3rd Floor 11861 88 Avenue,,Delta,2,V4C 3C6,49.16333,-122.894382,1,1,0,604 591-9116,604 591-8971,info@escdelta.ca,http://www.bgccs.bc.ca/,"9:00 am to 5:00 pm, Monday to FridayExcluding Statuary Holidays",22,11,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
27,Ladner,4899 Delta Street,,Ladner,2,V4K 2T9,49.091957,-123.08704,2,1,0,604 591-9116,604 591-8971,info@escdelta.ca,http://www.bgccs.bc.ca/,"9:00 am to 5:00 pm, Monday to Friday(Resource Room 9:00 am to 4:30 pm)Closed from 12 noon to 1 pm for lunchExcluding Statuary Holidays",40,11,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
